marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
16,1,8,5.0,512.0,16.0,0.0,60.0,3,15.6,13.099
11,1,7,7.0,512.0,16.0,0.0,144.0,54,16.1,32.999
11,5,20,11.0,512.0,16.0,0.0,144.0,46,15.6,27.499
16,1,20,12.0,256.0,8.0,0.0,60.0,21,15.6,22.199
9,5,17,13.0,128.0,4.0,0.0,60.0,13,14.1,5.999
4,1,19,11.0,0.0,4.0,1.0,60.0,16,14.0,8.274
2,5,21,12.0,2.0,40.0,0.0,60.0,24,15.6,44.999
0,1,20,11.0,512.0,16.0,0.0,165.0,46,17.3,25.695
11,1,21,13.0,1.0,32.0,0.0,144.0,54,16.1,43.699
0,1,20,12.0,512.0,16.0,0.0,144.0,46,15.6,26.299
19,5,21,12.0,512.0,16.0,0.0,144.0,45,15.6,31.6799
18,1,20,13.0,1.0,32.0,0.0,144.0,53,17.3,36.3693
4,2,21,12.0,1.0,32.0,0.0,60.0,21,15.6,22.6278
16,5,8,5.0,512.0,16.0,512.0,60.0,4,16.0,25.595
11,1,20,11.0,256.0,8.0,0.0,60.0,24,15.6,10.89
18,5,21,13.0,1.0,32.0,0.0,144.0,53,17.3,42.999
2,5,17,4.0,128.0,4.0,0.0,60.0,24,14.0,6.91
16,1,20,12.0,512.0,16.0,0.0,120.0,46,15.6,25.999
2,5,22,13.0,2.0,32.0,0.0,120.0,54,14.5,168.2991
6,1,20,11.0,500.0,8.0,0.0,60.0,21,15.6,10.6911
0,5,17,13.0,128.0,4.0,0.0,60.0,24,15.6,7.389
2,3,10,13.0,512.0,16.0,0.0,60.0,28,15.6,27.599
2,1,17,5.0,1.0,16.0,0.0,60.0,25,15.6,13.7101
0,5,20,11.0,0.0,8.0,512.0,60.0,42,15.6,15.999
2,1,8,7.0,512.0,8.0,0.0,144.0,53,15.6,30.999
18,1,21,13.0,1.0,16.0,0.0,144.0,53,17.3,35.799
3,1,21,13.0,1.0,32.0,0.0,165.0,54,16.0,47.799
2,3,10,13.0,256.0,16.0,0.0,60.0,28,15.6,9.899
2,5,20,10.0,512.0,16.0,0.0,144.0,36,15.6,26.1351
2,1,21,13.0,512.0,16.0,0.0,165.0,54,16.0,51.4052
3,1,7,5.0,500.0,8.0,0.0,60.0,3,15.6,11.5151
13,5,19,11.0,256.0,8.0,0.0,60.0,24,15.6,19.999
19,1,21,12.0,512.0,16.0,500.0,144.0,53,15.6,40.67
19,1,21,12.0,1.0,16.0,0.0,144.0,58,17.3,39.999
2,1,20,12.0,512.0,8.0,0.0,60.0,24,15.6,13.299
2,1,20,12.0,256.0,8.0,0.0,60.0,14,15.6,13.999
16,1,7,5.0,256.0,16.0,0.0,60.0,3,15.6,14.49
3,1,20,12.0,1.0,16.0,0.0,144.0,45,15.6,26.299
19,1,20,11.0,512.0,16.0,0.0,144.0,44,15.6,25.499
2,5,8,7.0,512.0,8.0,0.0,144.0,54,15.6,37.925
2,1,8,13.0,512.0,8.0,0.0,144.0,53,15.6,31.999
11,1,20,12.0,512.0,16.0,0.0,144.0,53,15.6,28.299
21,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,6.59
0,1,7,7.0,512.0,16.0,0.0,165.0,53,16.0,36.999
16,1,20,12.0,1.0,16.0,0.0,120.0,46,15.6,26.499
19,1,7,13.0,512.0,8.0,0.0,60.0,65,14.0,22.499
0,3,10,13.0,256.0,16.0,0.0,60.0,28,15.6,11.849
2,5,17,13.0,256.0,8.0,0.0,60.0,25,14.0,8.8101
